Прим:,2022 гОд,2021 год,
Прим:,2022 год,2021 год,
Поток денежных средств от операционной деятельности,тыс. руб:,тыс руб:,
Поступления от эксплуатации автомобильной дороги Платежи поставщикам 3а товары _.рабОть] vCЛVи,22,4 227 124,3 708 285
"Aлa аьщикам 3а товары ; PavviыI, услуги; относящиеся к эксплуатации автомобильной дороги",23,(1 426 918),(1 321 156)
"ПЛатежи поставщикам 3a товары, раооты; услуги; относящиеся к строительству автомобильной дороги",23,(24 171 157),(11 122 623)
ruваров; pavul: услуг,24,(221 271),(114 365)
Платежи; связанные c оплатой труда,(237 340),(221 347),
Поступления из бюджета по возврату НДС,2 275 356,1 455 568,
Поступления из бюджета по возврату налога на прибыль,3 310,84 551,
поступлсния еДачн имущсства в арсндуи рекламы Ha маршрутных указателях,20 018,24 294,
Платежи НДС в бюджет,(493 126),(397 834),
поvyпльния 01 кuнцсдента по концссснонному Соглашению,2 382 539,312 441,
Возврат (размещение) депозитов,(20 000 000),,
Процснты полученные,691 643,241 832,
Прочие поступления,9 060,797,
Прочие платежи Патп nmann,(202),(726),
Поток от операционной деятельности до вычста налога Nя ппибыль,7i6 g40,47 202,
на приоыль Налог на,(36 940 964) 10 - 1201,343 283) 1inc 7n,
налог на приоыль уплаченныи Итого чистый поток денежных средств от опсрационной,28,(95 139),(106 304)
деятельности,(37 036 103),449 587),
Поток денсжных срсдств от инвестиционной,,,
Поток денежных средств от инвестиционной деятсльности,,,
деятельности Прирблате,,,
Приобретение основных средств и нематериальных активов,416),325),
Выручка от реализации основных средств,3 000,,
"Выручка от реализации основных средств Погашение ценных бумаг, оцениваемых по",3 00O,,
"Погашение ценных бумаг, оцениваемых по амортизированной стоимости",494 593,74 03,
амортизированной стоимости Приобретение пенных бvмаг онениваем,494 593,74 037,
"Приобретение ценных бумаг, оценивасмых по 9]01]1Е",,,
амортизированной стоимости,(504 000),,
Продажа (ликвидация) ассоциированной компании,,,
Размещение депозитов Итого чистый поток денсжных средств от,15,(41216),
итого чистыи поток денежных средств от инвестиционной деятельности,(52 039),72 789,
,,,
Поток денежных средств от финансовой деятельности,,,
Поток денежных средств от финансовой деятельности TIauерне 79r,,,
"Финансовые расходы по выпуску облигаций Проценты, уплаченные по полученным займам и",(512 333),(221 375),
выпущенным облигациям Кредиты и займы получснные; включая поступления от,2 701 790),054 325),
"выпуска облигаций Погашение кредитов и займов полученных, включая",65 671 00O,12 430 000,
платсжи для погашения облигаций Выплата дивидендов по привилегированным акциям,(21 867 615),451 615),
дочерней компании,(68),(257),
выкул сооственных акцин Итого чистый поток тенет,(2 63 1 %62),(23U 824),
деятельности,37 937 232,7 451 604,
Итого приращенис (уменьшение) денежных средств их эквивалентов,849 090,74 806,
Денежные средства на начало периода,16,3 934 615,3 859 809
Денежные средства на конец периода,PUVECIRNI,Iа 783 705,3 934 615
Директор АO <Главная дорога>,<0,к ОГРН,МВ Плахов
Главный бухгалтер,Главная д,орога,C.В Измайлова
