(8 mысячах_poccuicкux _рублей),Прим,12 месяцев; закончившихся 31 декабря 2022 года,12 месяцев закончившихся 31 декабря 2021 года
(Убыток) прибыль до налогообложения,(10 067 585),2 827 407,
В том числе:,,,
Финансовые расходы,12 122 432,2 524 704,
Финансовые доходы,(2 060 849),(5 359 637,
Движение денежных средств от операционной деятельности до изменений оборотного капитала,(6 002),526),
Поступления по займам выданным,450 0ОО,885 300,
Проценты полученные,051 110,073 900,
Изменения по авансам выданным и прочей дебиторской задолженности,41,(149),
Изменения по торговой и прочей кредиторской задолженности,687,(429 481,
Изменения в оборотном капитале,1 501 838,1 529 570,
Налог на прибыль уплаченный,(1 433),413),
Чистые денежные средства; полученные от операционной деятельности,1 494 403,514 631,
Движение денежных средств в финансовой деятельности,,,
Поступления по привлеченным займам,68 500,,
Погашение привлеченных займов,(68 490),,
Проценты по займам выплаченные,(210),,
Купонный доход выплаченный,494 519),514 089),
Чистые денежные средства; использованные в финансовой деятельности,(1 494 719),(1 514 089),
Чистое (уменьшение) / увеличение денежных средств и их эквивалентов,(316),542,
Денежные средства и их эквиваленты на начало периода,026,484,
Денежные средства и их эквиваленты на конец периода,710,1 026,
